Field Name,Status,RA,Dec,Epoch,Optical,Field,Status,Running,What we have
a0,complete,1:21:02,40:14:44,2000,1998/2000,Inner Halo,complete,"4.5J, 5K","3.065, 4.95"
a13,complete,1:58:27,37:03:47,2000,1998,Inner Halo,complete,"4J, 6K","3.6, 5.4"
a3,complete,1:08:38,40:21:01,2000,1998,Inner Halo,complete,"4J, 6K","3.6, 4.5"
And1,complete,0:45:30,37:55:53,2000,1998/2000,dSph,complete,"4J, 6K","3.57, 5.37"
And10,complete,1:11:37,44:50:38,2000,2006,dSph,complete,"4J,6K","3.6, 5.4"
And11,complete,2:22:12,33:52:35,2000,2010,dSph,complete,"4.5J, 6K","4.13, 5.4"
And12,complete,0:55:37,36:04:18,2000,2010,dSph,complete,"4.5J, 6K","4.05, 9.0"
And13,complete,0:51:51,33:00:16,2000,2006,dSph,complete,"4J, 7K","3.6, 5.7"
And14,complete,0:51:35,29:41:49,2000,2005,dSph,complete,"4J, 6K","3.6, 3.54"
And15,complete,1:17:07,38:07:03,2000,2009,dSph,complete,"4J, 6K","0, 3.7"
And16,complete,1:03:58,32:22:36,2000,2009,dSph,complete,"4J, 6.5K","3.6, 5.82"
And17,complete,0:37:07,44:19:20,2000,2009,dSph,complete,"4J, 8K","3.54, 7.2"
And18,complete,1:22:37,45:09:50,2000,2010,dSph,complete,"4J, 6K","3.6, 5.4"
And19,complete,0:24:21,35:08:11,2000,2009,dSph,complete,"4.5J,6K","0.45, 1.8"
And2,complete,1:20:43,33:25:42,2000,1998/2000,dSph,complete,"5.5J, 6.5K","2.7, 4.05"
And20,complete,0:12:07,35:16:25,2000,2010,dSph,complete,"4J, 6K","3.6, 5.77"
And21,complete,23:01:56,42:28:15,2000,2009,dSph,complete,"4J, 7K","3.6, 5.42"
And22,complete,1:59:38,28:08:54,2000,2010,dSph,complete,"4J, 8K","3.6, 2.7"
And27,complete,0:37:27,45:23:13,2000,n/a,"dSph, on NW Stream",complete,"4J, 6K","3.6, 3.6"
And29,complete,,,,,dSph,complete,"4J,6K","4.5, 6.95"
And3,complete,0:35:17,36:30:30,2000,1998,dSph,complete,"4J,6K","3.54, 5.48"
And5,complete,1:10:17,47:37:46,2000,2006,dSph,complete,"4J, 6K","3.6, 5.4"
And6,complete,23:58:48,24:35:42,2000,2010,dSph,complete,"4J, 7K","6.35, 10.46"
And7,complete,23:31:34,50:41:29,2000,2006,dSph,complete,"4J, 6K","3.6, 5.48"
And9,complete,0:53:00,43:04:59,2000,2005,dSph,complete,"4J, 6K","0, 6.075"
H13d,complete,0:57:35,42:36:36,2000,2006,"Inner Halo, Brown HST Pointing (disk)",complete,"4J,6K","3.6, 5.4"
m1,complete,2:20:59,41:36:01,2000,1998/2000,"Inner Halo, Brown HST Pointing (halo11)",complete,"4J, 6K","3.6, 2.7"
m11,complete,1:33:12,35:35:20,2000,1998/2000,Outer Halo,complete,"4.5 J, 6.5K","4.5, 5.4"
m14,complete,1:42:00,32:30:00,2000,2005,Outer Halo,complete,"3.4J,6K","4.05, 5.29"
M33,complete,1:33:51,30:39:36,2000,2009,dSpiral,complete,"3J, 3K",
m4,complete,1:07:48,40:31:32,2000,1998/2000,Inner Halo,complete,"4J,6K","3.6, 5.4"
m6,complete,1:16:38,38:42:45,2000,1998/2000,Inner Halo,complete,"4J, 6K","3.6, 5.4"
m8,complete,2:34:35,37:43:29,2000,1998/2000,Outer Halo,complete,"4J, 7K","3.6, 5.44"
NGC147,complete,0:33:12,48:30:31,2000,n/a,dElliptical,complete,"4J, 6K","2.39, 3.6"
NGC185,complete,0:38:58,48:20:15,2000,n/a,dElliptical,complete,"4J, 4K","3.6, 3.6"
Off AndVI,complete,23:58:48,23:35:41,2000,2006,Empty Field,complete,"4J, 6K","0, 1.8"
R06A220,complete,0:57:38,36:28:38,2000,2005,Inner Halo,complete,"4J, 6K","3.49, 2.7"
R06A250,complete,0:11:57,39:05:48,2000,2005,Inner Halo,complete,"4J, 6K","3.2, 5.4"
R06A310,complete,0:18:07,45:20:52,2000,2005,"Inner Halo, ""off"" NW Stream",complete,"4.5J, 6K","4.05, 5.4"
R08A071,complete,1:33:45,44:40:29,2000,2010,Outer Halo,complete,"4J, 5K","0.675, 0"
R08A311,complete,0:06:39,48:19:58,2000,2010,Outer Halo,complete,"4J, 6K","3.57, 5.4"
R11A080,complete,2:06:29,43:21:45,2000,2005,Outer Halo,complete,"5J, 9K","4.67, 6.89"
R11A215,complete,0:10:25,31:25:32,2000,2005,Outer Halo,complete,"4J, 6K","3.6, 5.12"
R11A260,complete,23:47:14,39:14:18,2000,2007,Outer Halo,complete,"4J,6K","3.57, 0"
R11A282.5,complete,23:41:05,45:04:18,2000,2007,Outer Halo,complete,"4J,6K","3.57, 5.85"
R11A305,complete,24:39:38,48:55:42,2000,2005,Outer Halo,complete,"4J, 6K","3.6, 5.46"
R11A327.5,complete,0:02:52,51:32:51,2000,2009,Outer Halo,complete,"4J,6K","3.57, 5.4"
R11A350,complete,0:40:29,54:26:08,2000,2010,Outer Halo,complete,"4J, 6K","0.9, 5.4"
R4A240,complete,0:56:56,39:20:21,2000,2006,Inner Halo,complete,"4J, 6K","3.72, 5.09"
R4A289,complete,1:35:27,42:57:17,2000,2007,"Inner Halo,",complete,"4J, 6K","3.21, 2.31"
R8A250,complete,0:38:03,38:49:11,2000,2006,Outer Halo,complete,"4J, 6K","3.6, 5.4"
R8A281,complete,24:04:56,43:01:22,2000,2007,Outer Halo,complete,"4J, 6K","3.6, 5.4"
SE35,complete,2:13:35,39:35:34,2000,2006,"Inner Halo, Brown HST Pointing (Halo 35a)",complete,"4J, 6K","3.6, 5.4"
StrmE,complete,1:08:34,44:20:05,2000,2009,Known Substructure,complete,"4J, 6K","3.6, 2.7"
StrmF,complete,0:12:59,45:41:17,2000,2009,"Known Substructure, ""on"" NW Stream",complete,"4.5J,6K","4.05, 5.34"
West,complete,0:37:15,41:16:09,2000,2007,"Inner Halo, ""on"" NW Stream",complete,"4.5J, 6K","4.05, 5.4"
R11A057.5,incomplete,1:43:34,47:47:26,2000,2009,Outer Halo,incomplete,"2J, 4K","1.8, 3.6"
R11A110,incomplete,2:26:07,38:41:39,2000,2010,Outer Halo,incomplete,"4J, 6K","3.6, 5.4"
a19,no nir,1:28:28,36:42:29,2000,1998,Inner Halo,no nir,"0J, 0K","0, 0"
b15,no nir,2:11:12,34:53:58,2000,2000,Inner Halo,no nir,"0J, 0K","0, 0"
GSS89,complete,--,--,2000,--,--,complete,"4J, 6K","0,0"
hst_halo21,no nir,0:49:05,40:17:32,2000,n/a,HST halo21 Pointing,no nir,"0J, 0K","0, 0"
hst_halo35a,no nir,0:53:28,39:49:46,2000,**SE35,HST halo Pointing,no nir,"0J, 0K","0, 0"
hst_halo35b,no nir,0:54:08,39:47:26,2000,**SE35,HST halo Pointing,no nir,"0J, 0K","0, 0"
hst_stream,incomplete,0:44:18,39:47:21,2000,n/a,HST Stream Pointing,incomplete,"4J, 6K","2.475, 3.35"
I33A157,no nir,1:55:33,30:26:16,2000,2006,M33 Halo,no nir,"0J, 0K","0, 0"
I33A247,no nir,1:30:54,30:09:02,2000,2009,M33 Halo,no nir,"0J, 0K","0, 1"
I33A337,no nir,2:16:41,32:51:43,2000,2006,M33 Halo,no nir,"0J, 0K","0, 2"
O33A157,no nir,1:39:43,29:50:48,2000,2007,M33 Halo,no nir,"0J, 0K","0, 3"
O33A337,no nir,2:05:31,33:27:11,2000,2007,M33 Halo,no nir,"0J, 0K","0, 4"
O33A337,no nir,2:05:31,33:27:11,2000,2007,M33 Halo,no nir,"0J, 0K","0, 5"
R06A010,no nir,0:50:46,48:51:39,2000,2005,Inner Halo,no nir,"0J, 0K","0, 6"
R06A040,no nir,1:09:19,46:07:43,2000,2005,Inner Halo,no nir,"0J, 0K","0, 7"
R06A340,no nir,0:31:04,48:22:59,2000,2005,Inner Halo,no nir,"0J, 0K","0, 8"
R08A101,no nir,2:15:19,40:23:39,2000,2005,Outer Halo,no nir,"0J, 0K","0, 9"
R08A149,no nir,1:05:43,33:53:53,2000,2005,Outer Halo,no nir,"0J, 0K","0, 10"
R08A197,no nir,0:36:43,33:03:19,2000,2005,Outer Halo,no nir,"0J, 0K","0, 11"
R11A035,no nir,1:25:52,51:12:33,2000,2007,Outer Halo,no nir,"0J, 0K","0, 12"
R11A12.5,no nir,1:05:42,53:05:39,2000,2010,Outer Halo,no nir,"0J, 0K","0, 13"
R11A170,no nir,1:24:52,30:04:52,2000,2005,Outer Halo,no nir,"0J, 0K","0, 14"
R4A338,no nir,0:45:56,45:21:01,2000,2006,"Inner Halo, just ""off"" NW Stream",no nir,"0J, 0K","0, 15"
R8A011,no nir,2:04:59,50:02:09,2000,2007,Outer Halo,no nir,"0J, 0K","0, 16"
R8A341,no nir,1:42:38,49:23:24,2000,2006,Outer Halo,no nir,"0J, 0K","0, 17"
GSS70,complete,1:24:14,37:15:36,2000,2009,Known Substructure,complete,"7J, 12K","3.6, 5.4"